,SEX,VEH,SEX_S,AGE_index,AGE_S_index,PINCP_index,PINCP_S_index
0,1,2,2,19,16,6,6
1,2,2,2,9,9,2,1
2,1,1,2,15,13,8,8
3,2,1,2,13,6,5,1
4,1,0,2,10,9,5,4
5,2,1,1,15,8,5,2
6,2,1,1,12,12,8,8
7,1,2,2,19,20,8,8
8,1,0,2,9,9,4,2
9,2,2,1,9,9,5,4
10,1,2,2,20,19,8,5
11,2,2,1,18,19,8,8
12,1,1,2,9,9,6,5
13,2,3,1,9,9,5,3
14,2,1,1,10,10,3,3
15,1,2,2,17,18,8,8
16,1,1,1,10,9,6,5
17,1,1,1,9,15,7,3
18,1,3,2,16,15,5,4
19,1,1,2,9,9,6,3
20,2,2,1,10,10,8,8
21,1,2,2,11,10,8,7
22,2,2,2,18,14,8,5
23,1,2,2,15,19,8,3
24,1,2,2,20,14,6,5
25,2,2,1,17,18,8,8
26,1,1,2,12,12,6,6
27,2,1,1,9,9,4,4
28,1,1,2,10,10,8,5
29,2,2,1,12,12,8,6
30,1,1,2,19,19,8,7
31,1,2,2,16,16,8,6
32,1,2,2,15,15,8,6
33,2,1,2,11,11,7,6
34,2,2,2,9,9,5,5
35,2,2,1,14,14,7,6
36,1,1,2,11,11,8,3
37,1,3,2,10,10,8,7
38,2,2,1,15,15,5,4
39,2,2,1,15,15,8,8
40,2,1,1,15,21,8,1
41,1,1,1,10,10,8,8
42,1,0,1,6,7,2,1
43,2,2,2,10,11,8,4
44,1,3,2,21,20,7,5
45,1,2,1,15,14,8,5
46,1,2,2,10,9,8,5
47,1,2,2,10,10,7,3
48,1,3,2,14,16,7,5
49,1,1,2,11,9,8,4
50,2,1,1,16,16,8,6
51,1,2,2,11,10,8,5
52,1,1,2,9,8,6,1
53,1,2,2,9,9,6,1
54,2,1,2,8,15,5,3
55,2,3,1,15,17,8,4
56,1,1,1,13,10,8,6
57,1,0,2,11,12,5,4
58,1,2,2,10,10,8,3
59,1,2,2,10,9,8,3
60,2,2,1,14,20,8,8
61,1,3,2,10,9,7,6
62,1,2,2,15,13,6,5
63,1,1,1,14,14,8,8
64,2,1,1,9,9,3,3
65,1,2,2,11,10,8,6
66,2,0,2,9,9,4,4
67,1,2,2,9,9,5,3
68,1,2,2,9,9,6,5
69,2,1,2,9,8,5,2
70,1,2,2,10,10,6,5
71,2,2,1,18,17,8,5
72,1,1,2,14,13,8,2
73,1,2,2,10,10,8,7
74,2,2,2,10,10,6,3
75,1,2,2,12,13,8,7
76,2,0,2,10,11,4,2
77,1,2,2,15,17,7,5
78,1,1,1,9,15,4,3
79,1,2,2,8,8,3,3
80,1,2,2,16,17,8,4
81,2,1,1,13,14,8,8
82,2,3,1,16,15,8,2
83,2,3,1,15,12,7,6
84,1,1,2,10,10,8,6
85,2,2,1,12,11,8,4
86,1,0,1,5,5,1,1
87,2,2,1,16,9,8,3
88,1,1,1,21,15,8,8
89,1,1,1,10,10,8,3
90,1,2,2,17,15,8,3
91,1,2,2,11,11,8,5
92,1,2,2,15,16,8,8
93,1,1,2,9,9,7,4
94,1,1,2,8,8,2,1
95,2,3,1,15,17,8,2
96,2,2,1,9,9,8,7
97,2,3,1,14,12,8,8
98,2,2,1,12,12,8,6
99,1,2,2,11,10,8,6
100,1,1,1,11,10,5,3
101,1,2,2,19,16,7,6
102,2,2,1,9,10,8,6
103,1,2,1,13,13,8,7
104,2,1,1,17,18,8,3
105,2,2,1,14,15,8,6
106,2,3,1,18,18,8,8
107,1,1,1,14,13,8,5
108,1,1,2,9,10,8,3
109,1,2,2,20,17,8,2
110,2,2,1,13,13,5,3
111,2,1,1,11,11,6,6
112,1,2,2,9,9,6,1
113,1,1,2,12,12,8,3
114,2,2,1,17,18,6,5
115,1,0,1,17,17,3,3
116,1,1,2,11,11,8,8
117,1,2,2,15,16,8,8
118,2,2,1,15,19,5,4
119,1,2,2,17,12,8,3
120,1,2,1,12,10,8,2
121,1,2,2,12,12,8,8
122,1,1,1,10,9,6,5
123,2,1,1,11,11,8,8
124,2,1,1,10,10,8,8
125,2,1,1,13,14,8,5
126,2,2,1,8,9,2,1
127,1,1,2,9,9,5,5
128,1,0,1,10,11,5,5
129,1,1,2,12,10,6,5
130,1,4,2,10,9,8,6
131,1,1,1,11,10,8,8
132,1,2,2,14,13,8,8
133,2,2,1,11,11,8,6
134,1,2,2,11,10,8,8
135,2,2,2,15,18,8,6
136,2,1,1,10,10,8,8
137,1,1,1,8,8,7,1
138,2,2,1,18,16,8,8
139,1,1,2,16,15,8,5
140,2,1,1,12,13,7,5
141,1,2,2,10,10,6,6
142,1,1,2,10,9,7,4
143,2,2,1,20,21,8,7
144,2,1,1,8,10,4,4
145,1,1,2,15,14,8,8
146,2,2,1,15,17,5,5
