C,X,Y
8.0,-122.4635405,38.5771565
9.0,-122.235633,38.323413
10.0,-122.256436,38.499858
4.0,-122.298069,38.2911965
7.0,-122.350385,38.2069665
1.0,-122.3172865,38.350588
8.0,-122.472241,38.507808
1.0,-122.325286,38.321913
5.0,-122.2819185,38.304744
5.0,-122.2895875,38.303864
4.0,-122.286334,38.285714
10.0,-122.3003865,38.4225585
10.0,-122.174139,38.4888795
1.0,-122.325286,38.321913
1.0,-122.323636,38.331063
4.0,-122.2980885,38.296869
7.0,-122.350385,38.2069665
10.0,-122.2847405,38.688076
6.0,-122.586594,38.578457
2.0,-122.285519,38.2952755
7.0,-122.246181,38.160268
8.0,-122.472645,38.4623595
6.0,-122.4635405,38.5771565
3.0,-122.4051885,38.330863
3.0,-122.333086,38.294664
9.0,-122.2427835,38.3090135
2.0,-122.270838,38.292814
3.0,-122.356387,38.292416
10.0,-122.174139,38.4888795
1.0,-122.314386,38.333513
10.0,-122.3744885,38.548707
6.0,-122.586594,38.578457
4.0,-122.310589,38.303769
8.0,-122.4515405,38.505879
10.0,-122.1355815,38.4137595
6.0,-122.5771335,38.566283
4.0,-122.292585,38.296564
2.0,-122.2898845,38.296414
8.0,-122.472241,38.507808
9.0,-122.224882,38.281914
4.0,-122.308635,38.297349
9.0,-122.2606835,38.293364
2.0,-122.2909845,38.299464
9.0,-122.1773815,38.3344625
9.0,-122.263634,38.330463
6.0,-122.5672435,38.578757
2.0,-122.270838,38.292814
2.0,-122.2885345,38.297914
5.0,-122.2986355,38.332013
10.0,-122.3555875,38.400511
3.0,-122.322236,38.3151135
4.0,-122.292585,38.296564
8.0,-122.485091,38.5392075
7.0,-122.29532,38.2539155
3.0,-122.356387,38.292416
3.0,-122.333086,38.294664
4.0,-122.2909845,38.284664
4.0,-122.302785,38.270965
8.0,-122.4515405,38.505879
6.0,-122.544593,38.639555
2.0,-122.2885345,38.297914
4.0,-122.2909845,38.284664
2.0,-122.2898845,38.296414
9.0,-122.235633,38.323413
4.0,-122.2973305,38.284614
4.0,-122.2980885,38.296869
7.0,-122.2650815,38.159118
5.0,-122.2895875,38.303864
7.0,-122.2650815,38.159118
10.0,-122.254009,38.579556
9.0,-122.2565375,38.284514
8.0,-122.472645,38.4623595
5.0,-122.31314,38.3093635
1.0,-122.259584,38.3514125
2.0,-122.280484,38.2897645
1.0,-122.325286,38.321913
9.0,-122.2694335,38.2858635
8.0,-122.472645,38.4623595
1.0,-122.325286,38.321913
6.0,-122.5831435,38.582707
9.0,-122.2694335,38.2858635
8.0,-122.4515405,38.505879
1.0,-122.377238,38.3833115
3.0,-122.322236,38.3151135
8.0,-122.4605405,38.5338575
6.0,-122.42744,38.615055
5.0,-122.2895875,38.303864
10.0,-122.254009,38.579556
4.0,-122.286334,38.285714
4.0,-122.298069,38.2911965
4.0,-122.30391,38.284514
5.0,-122.31314,38.3093635
3.0,-122.333086,38.294664
10.0,-122.174139,38.4888795
8.0,-122.485091,38.5392075
9.0,-122.2565375,38.284514
5.0,-122.292735,38.320063
5.0,-122.291685,38.3129635
6.0,-122.474341,38.601065
7.0,-122.246181,38.160268
7.0,-122.2650815,38.159118
2.0,-122.270838,38.292814
10.0,-122.42744,38.615055
6.0,-122.586594,38.578457
7.0,-122.2692835,38.2811645
1.0,-122.325286,38.321913
6.0,-122.5831435,38.582707
9.0,-122.235633,38.323413
8.0,-122.4605405,38.5338575
9.0,-122.2427835,38.3090135
6.0,-122.585644,38.589757
1.0,-122.3172865,38.350588
2.0,-122.285519,38.2952755
4.0,-122.310589,38.303769
1.0,-122.336237,38.3756615
7.0,-122.246181,38.160268
3.0,-122.369588,38.3223135
9.0,-122.2427835,38.3090135
1.0,-122.3172865,38.350588
10.0,-122.369848,38.3875355
8.0,-122.479543,38.510608
1.0,-122.314436,38.3761115
5.0,-122.2819185,38.304744
10.0,-122.42744,38.615055
5.0,-122.292735,38.320063
1.0,-122.3172865,38.350588
3.0,-122.3273855,38.3096635
1.0,-122.3172865,38.350588
7.0,-122.246181,38.160268
7.0,-122.2692835,38.2811645
9.0,-122.224882,38.281914
10.0,-122.254009,38.579556
3.0,-122.4051885,38.330863
9.0,-122.263634,38.330463
1.0,-122.3338865,38.329713
2.0,-122.2885345,38.297914
9.0,-122.2649835,38.3085635
1.0,-122.314386,38.333513
2.0,-122.2909845,38.299464
3.0,-122.4051885,38.330863
1.0,-122.3168855,38.324663
7.0,-122.2833325,38.181725
4.0,-122.286334,38.285714
8.0,-122.481741,38.4973085
5.0,-122.31314,38.3093635
2.0,-122.285519,38.2952755
3.0,-122.3273855,38.3096635
8.0,-122.485091,38.5392075
7.0,-122.2692835,38.2811645
2.0,-122.2885345,38.297914
9.0,-122.1773815,38.3344625
8.0,-122.4605405,38.5338575
9.0,-122.2427835,38.3090135
3.0,-122.356387,38.292416
1.0,-122.3110985,38.3415625
9.0,-122.224882,38.281914
9.0,-122.2606835,38.293364
3.0,-122.3273855,38.3096635
9.0,-122.224882,38.281914
5.0,-122.2719845,38.3372125
6.0,-122.5831435,38.582707
2.0,-122.2885345,38.297914
3.0,-122.333086,38.294664
2.0,-122.270838,38.292814
4.0,-122.302785,38.270965
3.0,-122.310589,38.303769
10.0,-122.254009,38.579556
2.0,-122.2885345,38.297914
5.0,-122.3126855,38.3163135
10.0,-122.256436,38.499858
6.0,-122.4635405,38.5771565
7.0,-122.232682,38.2358775
6.0,-122.474341,38.601065
9.0,-122.2565375,38.284514
3.0,-122.356387,38.292416
2.0,-122.286484,38.298114
3.0,-122.3188355,38.293714
9.0,-122.2606835,38.293364
9.0,-122.2427835,38.3090135
6.0,-122.4635405,38.5771565
4.0,-122.305581,38.288951
2.0,-122.280484,38.2897645
2.0,-122.2898845,38.296414
6.0,-122.474341,38.601065
4.0,-122.2973305,38.284614
10.0,-122.254009,38.579556
